INFO 2022-11-19 20:09:41,263  Opening Options
INFO 2022-11-19 20:09:44,667  Opening 'settings.json'
INFO 2022-11-19 20:09:47,506  Opening Options
INFO 2022-11-19 20:09:51,611  Opening Options
INFO 2022-11-19 20:09:55,004  Opening 'settings.json'
INFO 2022-11-19 20:57:20,508  <----------------------------->
INFO 2022-11-19 20:57:20,508  Starting...
INFO 2022-11-19 20:57:20,517  Successfully started.
INFO 2022-11-19 20:57:20,517  Embedding barcodes to file 'ebay.pdf'
INFO 2022-11-19 20:57:20,528  Page: 1 | OrderID found: 03-09236-77159
INFO 2022-11-19 20:57:20,556  Page: 2 | OrderID found: 04-09236-44240
INFO 2022-11-19 20:57:20,582  Page: 3 | OrderID found: 22-09229-44593
INFO 2022-11-19 20:57:20,611  Page: 4 | OrderID found: 27-09227-75019
INFO 2022-11-19 20:57:20,635  Page: 5 | OrderID found: 17-09230-92767
INFO 2022-11-19 20:57:20,659  Page: 6 | OrderID found: 14-09231-24834
INFO 2022-11-19 20:57:20,681  Page: 7 | OrderID found: 04-09234-57968
INFO 2022-11-19 20:57:20,709  Page: 8 | OrderID found: 02-09235-31630
INFO 2022-11-19 20:57:20,733  Page: 9 | OrderID found: 08-09232-69094
INFO 2022-11-19 20:57:20,750  Writing embedded PDF to output file.
INFO 2022-11-19 20:57:20,780  Success. Barcodes embedded to file 'ebay.pdf'
INFO 2022-11-19 20:57:20,780  Opening embedded PDF: 'ebay.pdf' with 'C:\Program Files (x86)\Google\Chrome\Application\chrome.exe'
INFO 2022-11-19 20:57:20,814  Finished.
INFO 2022-11-19 20:57:30,507  <----------------------------->
INFO 2022-11-19 20:57:30,507  Starting...
INFO 2022-11-19 20:57:30,508  Successfully started.
INFO 2022-11-19 20:57:30,508  Embedding barcodes to file 'ebay.pdf'
INFO 2022-11-19 20:57:30,522  Page: 1 | OrderID found: 03-09236-77159
INFO 2022-11-19 20:57:30,553  Page: 2 | OrderID found: 04-09236-44240
INFO 2022-11-19 20:57:30,585  Page: 3 | OrderID found: 22-09229-44593
INFO 2022-11-19 20:57:30,614  Page: 4 | OrderID found: 27-09227-75019
INFO 2022-11-19 20:57:30,650  Page: 5 | OrderID found: 17-09230-92767
INFO 2022-11-19 20:57:30,682  Page: 6 | OrderID found: 14-09231-24834
INFO 2022-11-19 20:57:30,710  Page: 7 | OrderID found: 04-09234-57968
INFO 2022-11-19 20:57:30,743  Page: 8 | OrderID found: 02-09235-31630
INFO 2022-11-19 20:57:30,774  Page: 9 | OrderID found: 08-09232-69094
INFO 2022-11-19 20:57:30,796  Writing embedded PDF to output file.
INFO 2022-11-19 20:57:30,828  Success. Barcodes embedded to file 'ebay.pdf'
INFO 2022-11-19 20:57:30,828  Opening embedded PDF: 'ebay.pdf' with 'C:\Program Files (x86)\Google\Chrome\Application\chrome.exe'
INFO 2022-11-19 20:57:30,866  Finished.
